更新时间,#genre#
20260921-09-56-05,url


RespoTime,whitelist,#genre#
563.36ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
566.66ms,CCTV1,http://106.59.2.196:55555/rtp/239.200.200.2:8080
566.84ms,CCTV1,http://106.59.2.196:55555/rtp/239.200.201.45:8800
566.64ms,CCTV1,http://39.77.25.56:4002/rtp/239.253.254.77:8000
566.37ms,CCTV1,http://171.119.206.125:6000/rtp/226.0.2.153:9136
344.28ms,CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
567.67ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.89:8000
568.19ms,CCTV1,http://219.156.32.34:4022/rtp/225.1.4.73:1102
568.47ms,CCTV1,http://60.4.29.46:8077/rtp/239.253.92.83:8012
568.31ms,CCTV1,http://124.112.241.231:4022/rtp/238.1.78.166:7200
568.48ms,CCTV1,http://221.220.129.160:8012/rtp/239.3.1.129:8008
564.00ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
564.19ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
596.21ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
567.58ms,CCTV1,http://171.8.138.218:8800/rtp/239.16.20.1:10010
565.83ms,CCTV1,http://106.59.2.196:55555/rtp/239.200.200.117:8712
565.34ms,CCTV1,http://183.164.237.165:8888/rtp/238.1.78.166:7200
569.43ms,CCTV1,http://121.237.245.243:8888/rtp/239.49.8.129:6000
565.69ms,CCTV1,http://39.77.25.56:4002/rtp/239.253.254.89:8000
566.42ms,CCTV1,http://39.77.25.244:4002/rtp/239.253.254.89:8000
476.31ms,CCTV1,http://121.237.245.243:8888/rtp/239.49.8.19:9614
567.34ms,CCTV1,http://39.77.25.244:4002/rtp/239.253.254.77:8000
565.96ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
469.92ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.77:8000
566.70ms,CCTV1,http://171.119.206.133:6000/rtp/226.0.2.153:9136
602.25ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
483.37ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
305.34ms,CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8
345.14ms,CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
411.77ms,CCTV1,http://112.92.129.95:9898/hls/18/index.m3u8
424.59ms,CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
440.38ms,CCTV1,http://36.110.54.118:866/hls/1/index.m3u8
448.14ms,CCTV1,http://120.198.95.220:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
1126.58ms,CCTV1,http://106.59.2.196:55555/rtp/239.200.200.14:8852
387.59ms,CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8
711.31ms,CCTV1,http://222.134.19.49:8090/608807420
502.06ms,CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
799.08ms,CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
990.50ms,CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8
523.27ms,CCTV1,http://118.122.144.115:8888/newlive/live/hls/1/live.m3u8
449.26ms,CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
1176.91ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
494.21ms,CCTV1,http://114.254.38.234:8888/rtp/239.3.1.129:8008
671.59ms,CCTV1,http://119.233.255.62:1234/608807420
998.92ms,CCTV1,http://8.138.7.223/tv/ysp.php?id=cctv1
